Energy=0.100000 eV
theta,rad   sq_contrib(lm)   cross_contrib(lml’m)   total_PAD
      0.376991      2.167946E-01     -7.481904E-02      1.419756E-01
      0.408407      2.166175E-01     -7.169038E-02      1.449271E-01
      0.439823      2.164296E-01     -6.837145E-02      1.480582E-01
      0.471239      2.162317E-01     -6.487535E-02      1.513563E-01
      0.502655      2.160245E-01     -6.121586E-02      1.548086E-01
      0.534071      2.158089E-01     -5.740743E-02      1.584014E-01
      0.565487      2.155857E-01     -5.346510E-02      1.621206E-01
      0.596903      2.153558E-01     -4.940441E-02      1.659514E-01
      0.628319      2.151201E-01     -4.524141E-02      1.698787E-01
      0.659734      2.148795E-01     -4.099250E-02      1.738870E-01
      0.691150      2.146351E-01     -3.667448E-02      1.779606E-01
      0.722566      2.143877E-01     -3.230437E-02      1.820833E-01
      0.753982      2.141383E-01     -2.789942E-02      1.862389E-01
      0.785398      2.138879E-01     -2.347702E-02      1.904109E-01
      0.816814      2.136375E-01     -1.905461E-02      1.945829E-01
      0.848230      2.133881E-01     -1.464966E-02      1.987385E-01
      0.879646      2.131407E-01     -1.027955E-02      2.028612E-01
      0.911062      2.128963E-01     -5.961527E-03      2.069347E-01
      0.942478      2.126557E-01     -1.712625E-03      2.109431E-01
      0.973894      2.124200E-01      2.450382E-03      2.148704E-01
      1.005310      2.121901E-01      6.511066E-03      2.187012E-01
